Observacion	ID	Sexo	SexoNum	Edad	Fuma	Estatura	Colegio	Estrato	Financiacion	Acumulado	P1	P2	P3	Final	Definitiva	Gastos	Ingreso	Gas	Clases	Ley	PandemiaCat	PandemiaNum	Likert1	Likert2	Likert3	Likert4	Likert5	AGPEQ1	AGPEQ2	AGPEQ3	SATS1	SATS2	SATS3	SATS4	IDARE1.1	IDARE1.2	IDARE1.3	IDARE1.4	IDARE1.5	IDARE2.6	IDARE2.7	IDARE2.8	IDARE2.9	IDARE2.10	Puntaje
1	SB11201910010435	Femenino	0	21.36	No	Alta	Privado	1	Beca	3.92	1.5	5	5	4.5	4	48.9	1.61	27.45	Virtual	En desacuerdo	De acuerdo	3	4	5	1	1	5	Totalmente de acuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	En desacuerdo	De acuerdo	Bastante	Poco	Bastante	Bastante	Poco	Frecuentemente	Casi siempre	Frecuentemente	Casi siempre	Casi siempre	81
2	SB11201910004475	Masculino	1	21.07	Si	Baja	Privado	2	Beca	3.96	2.3	4.9	3.7	3.3	3.55	72.1	2.07	24.17	Presencial	En desacuerdo	De acuerdo	3	3	2	4	4	4	Ni de acuerdo, ni en desacuerdo	En desacuerdo	En desacuerdo	En desacuerdo	De acuerdo	Indeciso	Totalmente en desacuerdo	Bastante	Poco	Mucho	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	78
3	SB11201910011427	Masculino	1	20.92	Si	Alta	Privado	2	Beca	3.85	3.4	3.6	2	1.9	2.73	85.2	2.84	22.27	Virtual	En desacuerdo	De acuerdo	3	2	3	3	4	1	De acuerdo	En desacuerdo	De acuerdo	En desacuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Bastante	Poco	Bastante	Bastante	Poco	Algunas veces	Algunas veces	Algunas veces	Frecuentemente	Algunas veces	77
4	SB11201910041975	Masculino	1	18.41	Si	Alta	Privado	2	Beca	3.69	2.5	4.2	5	2.5	3.55	56.6	1.55	23.08	Virtual	En desacuerdo	De acuerdo	3	5	4	2	2	1	De acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	En desacuerdo	De acuerdo	Poco	No en lo absoluto	Bastante	Bastante	No en lo absoluto	Casi siempre	Frecuentemente	Frecuentemente	Casi nunca	Algunas veces	70
5	SB11201910013623	Femenino	0	16.64	Si	Alta	Privado	1	Beca	4.01	3.1	3.5	5	3	3.65	64.6	2.32	27.26	Virtual	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	1	1	5	3	4	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	En desacuerdo	Indeciso	Poco	Poco	Bastante	Bastante	Poco	Algunas veces	Algunas veces	Frecuentemente	Casi nunca	Casi nunca	68
6	SB11201910038122	Femenino	0	16.02	No	Baja	Privado	2	Beca	3.8	3.8	4.4	4.2	5	4.35	63	2.1	17.16	Presencial	De acuerdo	De acuerdo	3	3	2	3	2	1	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Mucho	Mucho	Poco	No en lo absoluto	Mucho	Casi siempre	Casi nunca	Algunas veces	Algunas veces	Frecuentemente	65
7	SB11201910037905	Femenino	0	19.32	Si	Baja	Privado	1	Beca	4.35	5	3	3.5	3.6	3.78	40.8	1.69	26.96	Presencial	De acuerdo	De acuerdo	3	4	3	3	5	5	En desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	De acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Poco	Bastante	Poco	No en lo absoluto	Bastante	Casi siempre	Casi nunca	Algunas veces	Casi nunca	Algunas veces	54
8	SB11201910038140	Femenino	0	18.62	Si	Media	Privado	1	Beca	3.76	4	2.3	4.6	4.3	3.8	65.4	2.18	24.96	Virtual	De acuerdo	De acuerdo	3	1	2	3	1	3	Totalmente de acuerdo	Totalmente de acuerdo	En desacuerdo	De acuerdo	Indeciso	En desacuerdo	Indeciso	Bastante	Poco	Poco	Poco	Poco	Frecuentemente	Algunas veces	Algunas veces	Casi siempre	Frecuentemente	50
9	SB11201910038005	Femenino	0	17.01	Si	Media	Privado	2	Beca	3.57	2.5	3.3	3.8	1.9	2.88	37.3	1.71	25.08	Virtual	En desacuerdo	En desacuerdo	1	2	1	4	5	4	Totalmente en desacuerdo	En desacuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	De acuerdo	En desacuerdo	Poco	Poco	Bastante	Poco	Poco	Algunas veces	Algunas veces	Algunas veces	Frecuentemente	Algunas veces	36
10	SB11201910037919	Masculino	1	19.71	Si	Media	Privado	1	Beca	3.15	2.4	2.6	4.3	5	3.58	63	2.1	21.77	Presencial	En desacuerdo	De acuerdo	3	5	4	1	4	2	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Indeciso	De acuerdo	Indeciso	Indeciso	Bastante	Poco	Bastante	Poco	Poco	Frecuentemente	Casi siempre	Algunas veces	Casi siempre	Casi siempre	35
